net,length_um
uart_rst,246.2
clknet_2_1__leaf_clk,226.38
_0964_,220.63
clknet_2_0__leaf_clk,218.24
_1008_,207.65
clknet_2_3__leaf_clk,206.02
_0829_,205.4
_1002_,197.07
_0821_,196.65
_1009_,196.64
clk,180.78
_0558_,180.49
_0841_,161.24
_0764_,160.08
clknet_2_2__leaf_clk,160.03
_0986_,156.18
_0738_,152.53
_0820_,151.88
_0963_,149.74
_0759_,144.74
clknet_0_clk,130.75
net1,128.44
clknet_leaf_0_clk,127.34
_0479_,125.51
net3,123.38
_0414_,122.88
net5,120.84
_0766_,116.82
clknet_leaf_22_clk,114.36
_0501_,113.765
_0559_,110.975
_0639_,109.595
clknet_leaf_16_clk,109.115
clknet_leaf_23_clk,107.71
_0930_,105.9
_0974_,104.56
net8,104.45
_0561_,102.28
_1001_,102.06
_0560_,98.785
net11,97.17
clknet_leaf_2_clk,96.65
net7,96.5
net12,95.4
clknet_leaf_19_clk,93.5
_0609_,92.84
_0345_,92.34
_0571_,91.18
clknet_leaf_4_clk,90.24
_0504_,88.78
_0383_,88.52
_0638_,88.22
clknet_leaf_3_clk,87.86
clknet_leaf_8_clk,87.15
clknet_leaf_28_clk,86.79
clknet_leaf_5_clk,83.99
clknet_leaf_10_clk,81.18
_0379_,80.29
_0536_,79.56
net17,79.04
_0945_,78.91
clknet_leaf_9_clk,77.33
clknet_leaf_20_clk,76.7
clknet_leaf_17_clk,74.135
clknet_leaf_11_clk,73.3
net15,72.26
_0998_,71.96
clknet_leaf_25_clk,71.63
_0703_,71.54
_0328_,70.92
clknet_leaf_29_clk,70.42
_0499_,70.1
clknet_leaf_26_clk,66.84
clknet_leaf_18_clk,66.42
clknet_leaf_14_clk,65.8
_0454_,65.68
_0977_,65.06
net18,64.935
clknet_leaf_12_clk,63.8
clknet_leaf_6_clk,62.98
clknet_leaf_27_clk,62.72
uart_rx_jetson_inst.rxd_reg,61.78
_0349_,60.6
_0506_,60.29
net10,60.22
_0754_,59.67
clknet_leaf_24_clk,58.4
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[19\],58.28
_0520_,57.56
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[20\],56.52
_0940_,56.075
clknet_leaf_21_clk,55.88
_0676_,54.465
_0740_,53.96
_0392_,53.92
net9,53.87
clknet_leaf_7_clk,53.14
_0666_,52.18
net14,51.81
clknet_leaf_1_clk,51.6
_0389_,51.22
_0000_,51.14
_0875_,50.9
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[20\],50.36
_0745_,49.78
uart_rx_raspi_inst.rxd_reg,49.58
_0972_,49.32
_0825_,49.24
_0473_,48.455
_0933_,48.22
_0540_,47.18
_0645_,45.72
_0373_,44.86
_0919_,43.96
_0565_,43.62
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[20\],43.28
_0866_,42.76
_0999_,42.7
_0882_,42.56
net13,42.29
_0436_,41.76
clknet_leaf_13_clk,41.62
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[21\],41.52
_0808_,41.26
